,sentences
837,mr lincoln need advice well country
838,good time buy house
839,boy brush proper
840,look good moustache
841,  try usin ' turpentine jes ' bad
842,mr lincoln lisa simpson problem
843,mr jefferson lisa simpson problem
844,know problem lincoln memorial crowded
845,come blame important declaration independence louisiana purchase dumbwaiter
846,uh maybe go catch bad time
847,rudy man miracle worker
848,bart ready room service
849,kill remember trip expense pay
850,deficit rag oh yeah deficit rag budget gap digit drag tellin ' ya deficit mess deficit ra g thank
851,oh guy awful
852,know honey sit
853,welcome award luncheon like introduce distinguished judge select scholarship winner
854,redskin great alonzo flowers perennial party candidate wilson defarge senate page brad fletcher skin care consultant rowena wealthy gadabout chilton gaine
855,essayist lisa simpson lisa lisa
856,oh lisa simpson read essay
857,like read different essay
858,  city washington build stagnant swamp year ago little change stank stink today fetid stench corruption hang air
859,  take bribe honorable bob arnold worry congressman sure buy vote need dirty money nation dollar liberty justice
860,senator problem essay contest
861,little girl lose faith democracy
862,congressman want drill oil teddy roosevelt head
863,work uncle sam
864,vote house bill expulsion bob arnold
865,mr speaker bill tack pay raise
866,okay boss happy
867,  family arrive country month ago speak english money pocket today nationwide chain wheel balance center america possibly canada family find opportunity star stripe remind wonderful word flag
868,brief recess judge tabulate vote
869,yeah speech little crowd pleasin '
870,sorry dad think nice way america stink
871,extra extra fed nab rotten rep
872,imprison congressman bear christian
873,believe system work
874,trading gap shuffle heap trouble do trading gap shuffle yes sir
875,budget gap trading gap
876,moment truth win essay bubble o melting pot lift high lamp green lady usa o k cesspool potomac
877,cesspool cesspool cesspool cesspool cesspool
878,winner usa o k truong van dinh
879,miss crowley thank sized novelty check like share honor fellow essayist particularly courageous lisa simpson inflammatory rhetoric remind price freedom eternal vigilance
880,let tell lisa s little year old muckraker es catch crook pay day ball
881,lis teach stand believe
882,homer silly goose weed whacker edge go to day
883,picture half hee hee finish tomorrow come strap feed bag go to fire old propane elaine heat meat nummy nummy num
884,flander have beef thon incredible ned ible maude acious vittle
885,think mean have barbecue
886,try friendly know give ned flander chance
887,oh look care ned flander nice guy world jerk end story
888,hold thing little well
889,excuse well thank lot marge place
890,wrong worth feel inch tall find kind person marge simpson president international love flander fan club
891,fee fi fo fum smell potato au gratin marge simp son mmmm mmm
892,hi ned homer send apology uh important work plant care
893,return exciting fifteenth round action canadian football league draft
894,saskatchewan rough rider score rouge season jack kicker sorely need
895,stupid flander show ahead marge ball game dead eat cry eye go flander ' oh flander ' house leave homer food laugh laugh grave
896,boy mmmmmmmm bar b que
897,hey great ya nice seein ' ya
898,okay thank comin '
899,electricity electricity freeze tag
900,lie like fly booger eye
901,fly funny booger icing cake
902,friend love sinister motive ask sinister latin left handed joking
903,friday say toodle oo pharmaceutical game
904,kid noose wear year
905,sir like americans leave handed let tell be peach cream writing get smear lord help want drive standard transmission
906,sir open stop store southpaws left handed apple peeler leave handed zither go to leftorium
907,homer dyin ' know think leftorium
908,uh sound like pretty dumb idea
909,know little risky go to lot hard work gosh darn go to lot fun
910,fun store flander merry old land oz
911,oh springfield mall
912,want wish homer
913,come homer get ambition wishin '
914,pant flander wish fast
915,yesssss oh yessss read weep face get chicken bone
916,will come true
917,bart hour day watch tv
918,think little fresh air maybe exercise
919,yeah ya go to
920,marge tv give ask little boy good friend
921,problem speak million child stare tv instead get need exercise child parent ashamed
922,hello akira ha
923,hurt know ancient art karate
924,karate focus mind give self confidence
925,people walk life doctor
926,  landscape architect
927,high karate low low price
928,tell lie great deal
929,hey mom about learn karate happy
930,sound fine bart
931,marge knock tv help think owe somebody little apology
932,ow ow ow ow
933,hey flander business
934,oh little pokey thing go to pick
935,money away accident
936,thank validate parking
937,n mall security guard take good long look left handed ice cream scoop
938,greeting akira guide path true karate map art war sun tzu teach important lesson learn karate need use
939,um excuse sir know hit guy break nunchuck
940,ah yes impetuousness youth let read
941,akira good man break block ice head
942,fill head wisdom hit ice
943,yo sensei bathroom
944,pay money read book hell
945,come touch death touch death touch death
946,tell flander ' store dee serte think bestest buddy marge
947,dad know schadenfreude
948,know schadenfreude tell die know
949,german term shameful joy take pleasure suffering
950,oh come lisa glad fall flat butt usually happy comfortable surround loved one make feel opposite shameful joy thing
951,boy germans word
952,bart learn karate school today
953,yeah come boy better worth buck
954,uh learn touch death
955,ooh touch death
956,permit demonstrate lisa shut eye soon peace
957,hey quit bart quit hey quit quit quit m o o o m
958,bart use touch death sister
959,uh oh get to karate class
960,right comin ' outta way step aside lady
961,hey boy class
962,today learn rip man heart die
963,oh learn ' be
964,love lefty shoot glass
965,leave handed pinking shear
966,pink shear let food court steal bake potato
967,hey flander busy hour
968,oh oh oh expect thing start pick soon think word mouth startin ' spread
969,hey hear validate parking ticket purchase
970,oh right rain leave rain
971,hey homer neighbor store
972,lousy sit day great job place
973,crummy right handed corkscrews sell
974,uh actually moe
975,hey lis change channel
976,grow weary new channel change
977,apple apple apple come candy bar hey know apple want sink go to let -PRON- time
978,simpson box mr burns ' desk chop chop
979,ah look smither member nuclear family helpful suggestion
980,simpson eh hmm hmmm monty burn
981,hm handsome owner sight distract female employee smither
982,oh real apple vending machine sentence
983,leave mr burns
984,oh course worry plenty apple away precious apple
985,tell secretary say free apple right promise
986,damned infernal gizmo kingdom left hand opener
987,um mr burns
988,come homer tell store dyin '
989,sure interested dollar ask price
990,hey flexible pay night change mind
991,hey flander okay
992,oh yeah sure think rid clutter like
993,oh good good catch dead buying hello
994,ah get eye gas grill butane beaut
995,homer pay dollar year
996,swindle friend buck leave
997,oh homer reasonable
998,sorry cash neddie homer money bye bye neddie bye bye
999,change mind pass fancy throw lawn chair maybe tool bench rekindle interest
1000,hey bartle eeboobely care steak rooney
1001,sound scrump didly umptious dear old daddly doodly
1002,homer flander ' entire living room set pay
1003,seventy dollar ned desperate
1004,sure discourage scavenger human misery
1005,hey hand china hutch
1006,good afternoon sir chuck ellis springfield collection agency ask think need pay bill
1007,oh know need pay
1008,feel good owe people money patient mr flander
1009,know wait minute homer simpson ned flander live
1010,flander debt sure
1011,damn right handed ledger write thing
1012,hey say homer simpson
1013,knock -PRON- dead boy kid go to black belt time
1014,hey check saxophone
1015,pretty boss stuck
1016,hey look elvis man
1017,okay sorry time go to
